appl_id,project,nctid
9869182,AT010621-01,NCT04129450
9869416,AT010802-01,NCT04233671
9869480,AG067493-01,NCT04523714
9869503,AT010806-01,NCT04736550
9869524,AT010614-01,NCT04173416
9870024,NR019196-01,NCT04395001
9870205,AR077360-01,NCT04504812
9870905,DA045695-02,NCT03698669
9875961,DA013732-19S4,NCT03023930
9875961,DA013732-19S4,NCT03275350
9875961,DA013732-19S4,NCT03911466
9875961,DA013732-19S4,NCT03911739
9875961,DA013732-19S4,NCT03918850
9875961,DA013732-19S4,NCT03936985
9876435,AG067593-01,NCT04336592
9876435,AG067593-01,NCT04570371
9879277,DA013035-17S7,NCT02032433
9879277,DA013035-17S7,NCT04289363
9879277,DA013035-17S7,NCT04464980
9879277,DA013035-17S7,NCT04762537
9881202,AR076573-01,NCT04409353
9881407,HL150551-01,NCT04262193
9881969,AR076568-01,NCT04747314
9881988,HL150835-01,NCT04287062
9882011,HL150568-01,NCT04299490
9882365,AT009932-02,NCT04082637
9882422,DA050077-01,NCT04408313
9882684,DA050074-01,NCT04276792
9882727,DA050072-01,NCT04309565
9882751,DA050071-01,NCT04216719
9882751,DA050071-01,NCT04873401
9882789,DA050069-01,NCT04069624
9888546,DA040317-05S2,NCT01966432
9888546,DA040317-05S2,NCT03248947
9888864,DA050174-01,NCT04135703
9889568,DA050173-01,NCT04550715
9890338,DA050251-01,NCT04109599
9892107,AT010797-01,NCT04433975
9892321,DA050234-01,NCT04839978
9892437,DA050235-01,NCT04617938
9892763,DA050189-01,NCT04901312
9893166,AT010742-01,NCT04082637
9893173,DA050250-01,NCT04678960
9897862,DA040314-05S3,NCT03407638
9897862,DA040314-05S3,NCT04535583
9898037,DA040314-05S4,NCT03407638
9898037,DA040314-05S4,NCT04535583
9898661,NS115111-01,NCT05045625
9899225,DA048734-02,NCT03789214
9899239,DA047094-02,NCT03980184
9899660,NS115118-01,NCT03894553
9900356,DK123786-01,NCT04571619
9900385,DK123787-01,NCT04571619
9901129,DA040316-05S3,NCT03559179
9901129,DA040316-05S3,NCT04198428
9901129,DA040316-05S3,NCT04345718
9901129,DA040316-05S3,NCT04867382
9901129,DA040316-05S3,NCT04921787
9901274,DA013727-20S3,NCT01675661
9901274,DA013727-20S3,NCT03078075
9901274,DA013727-20S3,NCT03918850
9901274,DA013727-20S3,NCT04907357
9901399,DA040309-05S5,NCT02915341
9901399,DA040309-05S5,NCT04155502
9901399,DA040309-05S5,NCT04535583
9901704,DK123812-01,NCT04571619
9901764,DK123813-01,NCT04571619
9901871,DK123814-01,NCT04571619
9901874,HD101059-01,NCT04149509
