Appl Id,Project,ClinicalTrial.gov NCT (Source) Lists
9882727,DA050072-01,"NCT04309565 (HSSTUDY, CT)"
9882751,DA050071-01,"NCT04216719 (HSSTUDY), NCT04873401 (CT)"
9882789,DA050069-01,"NCT04069624 (HSSTUDY, CT)"
9888546,DA040317-05S2,"NCT01966432 (CT), NCT03248947 (CT)"
9888864,DA050174-01,NCT04135703 (HSSTUDY)
9889568,DA050173-01,"NCT04550715 (HSSTUDY, CT)"
9890338,DA050251-01,NCT04109599 (CT)
9892107,AT010797-01,"NCT04433975 (HSSTUDY, CT)"
9892321,DA050234-01,"NCT04839978 (HSSTUDY, CT)"
9892437,DA050235-01,NCT04617938 (HSSTUDY)
9892763,DA050189-01,"NCT04901312 (HSSTUDY, CT)"
9893166,AT010742-01,"NCT04082637 (HSSTUDY, CT)"
9893173,DA050250-01,NCT04678960 (HSSTUDY)
9897862,DA040314-05S3,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9898037,DA040314-05S4,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9898661,NS115111-01,NCT05045625 (HSSTUDY)
9899225,DA048734-02,"NCT03789214 (HSSTUDY, CT)"
9899239,DA047094-02,"NCT03980184 (HSSTUDY, CT)"
9899660,NS115118-01,NCT03894553 (HSSTUDY)
9900356,DK123786-01,NCT04571619 (HSSTUDY)
9900385,DK123787-01,NCT04571619 (HSSTUDY)
9900443,DA050283-01,N/A (HSSTUDY)
9901129,DA040316-05S3,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9901274,DA013727-20S3,"NCT01675661 (CT), NCT03078075 (HSSTUDY), NCT03918850 (HSSTUDY), NCT04907357 (CT)"
9901399,DA040309-05S5,"NCT02915341 (HSSTUDY), NCT04155502 (HSSTUDY, CT), NCT04535583 (CT)"
9901704,DK123812-01,NCT04571619 (HSSTUDY)
9901764,DK123813-01,"NCT04571619 (HSSTUDY, CT)"
9901871,DK123814-01,NCT04571619 (HSSTUDY)
9901874,HD101059-01,NCT04149509 (CT)
9901983,DA013035-17S8,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
9902068,DK123816-01,NCT04571619 (HSSTUDY)
9902084,DK123817-01,NCT04571619 (HSSTUDY)
9902131,DK123818-01,NCT04571619 (HSSTUDY)
9902582,DK123821-01,NCT04571619 (HSSTUDY)
9902690,DA040316-05S4,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902691,DA040316-05S2,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902694,DA040316-05S5,"NCT03559179 (CT), NCT04198428 (CT), NCT04345718 (CT), NCT04867382 (CT), NCT04921787 (CT)"
9902764,MH121942-01,"NCT04600414 (HSSTUDY, CT)"
9903903,MH121944-01,"NCT04245423 (HSSTUDY, CT)"
9905069,MH121954-01,"NCT04559893 (HSSTUDY, CT), NCT04634279 (CT)"
9905170,DA050325-01,"NCT04199728 (HSSTUDY, CT)"
9905868,DA013732-20S3,"NCT03023930 (HSSTUDY), NCT03275350 (HSSTUDY), NCT03911466 (HSSTUDY, CT), NCT03911739 (HSSTUDY, CT), NCT03918850 (HSSTUDY, CT), NCT03936985 (HSSTUDY)"
9906533,DA040314-05S5,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9906729,DA040314-05S6,"NCT03407638 (HSSTUDY, CT), NCT04535583 (CT)"
9910942,DA050358-01,NCT04340622 (CT)
9912034,DA050398-01,"NCT05006846 (HSSTUDY), NCT05017272 (HSSTUDY)"
9912651,DA050380-01,NCT04551092 (CT)
9913686,DA015831-18S7,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9914450,DA015831-18S4,"NCT03023930 (HSSTUDY, CT), NCT03985163 (CT), NCT04200339 (CT), NCT04464980 (CT)"
9914612,DA013035-17S9,"NCT02032433 (CT), NCT04289363 (CT), NCT04464980 (CT), NCT04762537 (CT)"
